variable,kruskal_stat,kruskal_p
Idade,13.237069878721044,0.004150993411674186
Estatura,26.153254662660146,8.858078595993545e-06
MC,26.495882793321215,7.508817191138163e-06
Anos de JJ,20.80078094682449,0.00011579623536682362
