cluster,n_athletes,Sexo_centroid,Idade_centroid,Estatura_centroid,MC_centroid,Anos de JJ_centroid,Grad. no JJ_centroid,Categoria de peso_centroid
0,44,0.75,-0.021945454725176217,0.04473246430218529,-0.08028023584553723,-0.06537041720549537,Branca,Até 76 kg
1,29,0.9655172413793104,0.9705350325786952,0.4506090586296319,0.4351118326282599,1.6047244835284415,Preta,Até 76 kg
2,49,0.3673469387755102,-0.29337490036176483,-1.054362648291369,-0.8372286830999924,-0.433380431323373,Azul,Até 70 kg
3,64,0.984375,-0.20007102842418745,0.5723106036987724,0.49903582348255876,-0.35039172703808946,Roxa,"Até 88,3 kg"
