,0.0,1.0,2.0,3.0
0.0,1.0,1.0,0.000255157370602856,1.0
1.0,1.0,1.0,4.986469590479386e-05,0.6066634814902008
2.0,0.000255157370602856,4.986469590479386e-05,1.0,0.0021610153125865353
3.0,1.0,0.6066634814902008,0.0021610153125865353,1.0
